Player_Name,Team,Opponent,Year,Week,Home_Away,Snap_Count,Snap_Share_Pct,Rush_ATT,Rush_YDS,Rush_Y_per_Att,Rush_TD,Rec_TGT,Rec_REC,Rec_YDS,Rec_Y_per_Rec,Rec_TD,Fantasy_Pts_HalfPPR,RB_Def_Rank,Avg_Fantasy_Pts_Allowed_RB
Ameer Abdullah,Raiders,Chargers,2023,15,Home,17,27,6,32,5.3,0,2,2,13,6.5,0,5.5,14,9.4
Ameer Abdullah,Raiders,Chiefs,2023,16,Away,12,22,2,11,5.5,0,1,1,1,1,0,1.7,5,7.81
Ameer Abdullah,Raiders,Colts,2023,17,Away,30,40,1,4,4,0,1,1,18,18,0,2.7,29,11.84
Ameer Abdullah,Raiders,Broncos,2023,18,Home,18,27,0,0,0,0,1,1,7,7,0,1.2,30,12.78
Ameer Abdullah,Raiders,Ravens,2024,2,Away,8,13,2,1,0.5,0,2,2,1,0.5,0,1.2,25,14.8
Ameer Abdullah,Raiders,Panthers,2024,3,Home,22,34,0,0,0,0,2,2,13,6.5,0,2.3,19,11.32
Ameer Abdullah,Raiders,Broncos,2024,5,Away,31,44,5,42,8.4,1,3,3,9,3,0,12.6,7,8.56
Ameer Abdullah,Raiders,Steelers,2024,6,Home,19,30,4,24,6,0,5,3,14,4.7,0,3.3,1,7.31
Ameer Abdullah,Raiders,Chiefs,2024,8,Home,17,29,1,2,2,0,2,1,9,9,0,1.6,1,7.22
Ameer Abdullah,Raiders,Bengals,2024,9,Away,30,49,4,12,3,0,3,3,14,4.7,0,4.1,19,11.02
Ameer Abdullah,Raiders,Dolphins,2024,11,Away,22,34,1,1,1,0,3,3,16,5.3,1,9.2,24,11.81
Ameer Abdullah,Raiders,Broncos,2024,12,Home,69,90,8,28,3.5,0,6,5,37,7.4,1,15,11,9.83
Ameer Abdullah,Raiders,Chiefs,2024,13,Away,42,62,10,39,3.9,0,2,2,14,7,0,6.3,1,7.22
Ameer Abdullah,Raiders,Buccaneers,2024,14,Away,26,39,1,1,1,0,2,1,-3,-3,0,0.3,13,9.93
Ameer Abdullah,Raiders,Falcons,2024,15,Home,31,46,3,8,2.7,0,7,7,58,8.3,1,16.1,7,9.14
Ameer Abdullah,Raiders,Jaguars,2024,16,Home,32,43,7,38,5.4,1,6,5,47,9.4,0,17,25,11.74
Ameer Abdullah,Raiders,Saints,2024,17,Away,48,62,20,115,5.8,0,4,3,32,10.7,0,16.2,29,12.53
Antonio Gibson,Patriots,Eagles,2023,1,Home,25,35,3,9,3,0,1,1,10,10,0,0.4,,
Antonio Gibson,Patriots,Dolphins,2023,2,Home,35,48,2,9,4.5,0,3,3,44,14.7,0,6.8,29,19.75
Antonio Gibson,Patriots,Jets,2023,3,Away,33,61,2,17,8.5,0,5,3,7,2.3,0,1.9,25,12.35
Antonio Gibson,Patriots,Cowboys,2023,4,Away,30,38,6,19,3.2,0,1,1,7,7,0,3.1,3,5.72
Antonio Gibson,Patriots,Saints,2023,5,Home,38,54,0,0,0,0,6,4,64,16,0,8.4,4,6.16
Antonio Gibson,Patriots,Raiders,2023,6,Away,20,39,3,15,5,0,1,1,1,1,1,8.1,14,8.8
Antonio Gibson,Patriots,Bills,2023,7,Home,26,38,2,7,3.5,0,2,2,24,12,0,4.1,24,12.83
Antonio Gibson,Patriots,Dolphins,2023,8,Away,37,51,2,14,7,0,5,5,28,5.6,0,6.7,16,9.34
Antonio Gibson,Patriots,Commanders,2023,9,Home,34,44,6,34,5.7,0,5,5,42,8.4,0,10.1,12,8.69
Antonio Gibson,Patriots,Colts,2023,10,Home,29,48,4,13,3.3,0,6,5,42,8.4,1,14,21,11.21
Antonio Gibson,Patriots,Giants,2023,12,Away,36,46,6,21,3.5,0,4,3,16,5.3,0,5.2,29,12.36
Antonio Gibson,Patriots,Chargers,2023,13,Home,31,56,10,35,3.5,0,5,4,37,9.3,0,9.2,13,9.32
Antonio Gibson,Patriots,Chiefs,2023,15,Home,27,45,4,15,3.8,0,5,5,20,4,0,6,6,7.91
Antonio Gibson,Patriots,Broncos,2023,16,Away,27,44,9,30,3.3,1,2,1,2,2,0,9.7,30,13.11
Antonio Gibson,Patriots,Bills,2023,17,Away,20,43,4,19,4.8,0,4,2,17,8.5,0,4.6,25,10.53
Antonio Gibson,Patriots,Jets,2023,18,Home,25,51,2,8,4,0,4,3,28,9.3,0,5.1,19,10.12
Antonio Gibson,Patriots,Bengals,2024,1,Away,14,22,7,18,2.6,0,0,0,0,0,0,1.8,,
Antonio Gibson,Patriots,Seahawks,2024,2,Home,16,24,11,96,8.7,0,1,1,7,7,0,10.8,2,3.05
Antonio Gibson,Patriots,Jets,2024,3,Away,19,37,5,29,5.8,0,3,3,8,2.7,0,5.2,18,10.88
Antonio Gibson,Patriots,49ers,2024,4,Away,22,34,6,12,2,0,4,3,67,22.3,0,9.4,32,15.48
Antonio Gibson,Patriots,Dolphins,2024,5,Home,28,47,6,52,8.7,0,1,1,4,4,0,6.1,25,14.63
Antonio Gibson,Patriots,Texans,2024,6,Home,32,48,13,19,1.5,0,4,3,24,8,0,5.8,6,8.46
Antonio Gibson,Patriots,Jaguars,2024,7,Away,10,17,3,4,1.3,0,1,1,9,9,0,1.8,17,10.22
Antonio Gibson,Patriots,Jets,2024,8,Home,13,19,5,7,1.4,0,0,0,0,0,0,0.7,4,7.85
Antonio Gibson,Patriots,Titans,2024,9,Away,8,12,1,-1,-1,0,1,1,12,12,0,1.6,14,9.93
Antonio Gibson,Patriots,Bears,2024,10,Away,7,11,5,26,5.2,0,0,0,0,0,0,2.6,14,10.3
Antonio Gibson,Patriots,Rams,2024,11,Home,13,17,4,18,4.5,0,1,1,2,2,0,2.5,17,10.95
Antonio Gibson,Patriots,Dolphins,2024,12,Away,30,43,6,31,5.2,0,2,1,14,14,0,5,14,10.82
Antonio Gibson,Patriots,Colts,2024,13,Home,17,24,7,62,8.9,1,0,0,0,0,0,12.2,32,13.43
Antonio Gibson,Patriots,Cardinals,2024,15,Away,16,31,7,33,4.7,0,2,2,31,15.5,0,7.4,23,10.96
Antonio Gibson,Patriots,Bills,2024,16,Away,43,59,10,28,2.8,0,2,2,8,4,0,4.6,32,12.83
Antonio Gibson,Patriots,Chargers,2024,17,Home,29,55,12,63,5.3,0,1,0,0,0,0,6.3,3,8.1
Antonio Gibson,Patriots,Bills,2024,18,Home,42,66,12,41,3.4,0,6,4,20,5,0,8.1,24,11.84
Antonio Gibson,Patriots,Raiders,2025,1,Home,5,7,1,3,3,0,1,0,0,0,0,0.3,,
Antonio Gibson,Patriots,Dolphins,2025,2,Away,10,17,5,27,5.4,0,1,1,1,1,0,9.3,20,11.3
Antonio Gibson,Patriots,Steelers,2025,3,Home,19,26,7,28,4,0,0,0,0,0,0,0.8,17,10.42
Antonio Gibson,Patriots,Panthers,2025,4,Home,9,18,6,27,4.5,1,0,0,0,0,0,8.7,26,12.37
Antonio Gibson,Patriots,Bills,2025,5,Away,9,15,6,21,3.5,0,1,1,5,5,0,3.1,12,9.62
Ashton Jeanty,Raiders,Patriots,2025,1,Away,54,86,19,38,2,1,2,2,2,1,0,11,,
Ashton Jeanty,Raiders,Chargers,2025,2,Home,39,56,11,43,3.9,0,4,3,1,0.3,0,5.9,1,3.7
Ashton Jeanty,Raiders,Commanders,2025,3,Away,40,61,17,63,3.7,0,0,0,0,0,0,6.3,14,9.45
Ashton Jeanty,Raiders,Bears,2025,4,Home,44,85,21,138,6.6,1,2,2,17,8.5,2,32.5,24,11.53
Ashton Jeanty,Raiders,Colts,2025,5,Away,37,54,14,67,4.8,0,7,5,42,8.4,0,13.4,4,7.34
Ashton Jeanty,Raiders,Titans,2025,6,Home,48,79,23,75,3.3,1,4,2,11,5.5,0,15.6,28,14.1
Ashton Jeanty,Raiders,Chiefs,2025,7,Away,22,63,6,21,3.5,0,1,1,13,13,0,3.9,23,12.38
Ashton Jeanty,Raiders,Jaguars,2025,9,Home,58,91,13,42,3.2,0,5,5,47,9.4,1,17.4,4,7.85
Ashton Jeanty,Raiders,Broncos,2025,10,Away,52,87,19,60,3.2,1,5,3,3,1,0,13.8,18,10.82
Ashton Jeanty,Raiders,Cowboys,2025,11,Home,44,73,6,7,1.2,0,8,6,27,4.5,0,6.4,26,12.48
Ashton Jeanty,Raiders,Browns,2025,12,Home,64,81,17,50,2.9,0,8,8,58,7.3,1,20.8,2,7.28
Audric Estime,Broncos,Seahawks,2024,1,Away,3,4,2,14,7,0,0,0,0,0,0,1.4,,
Audric Estime,Broncos,Chargers,2024,6,Home,2,4,2,13,6.5,0,0,0,0,0,0,1.3,3,7.5
Audric Estime,Broncos,Saints,2024,7,Away,6,9,5,29,5.8,0,0,0,0,0,0,0.9,18,10.43
Audric Estime,Broncos,Panthers,2024,8,Home,5,7,1,4,4,0,0,0,0,0,0,0.4,29,12.87
Audric Estime,Broncos,Ravens,2024,9,Away,7,10,5,35,7,0,0,0,0,0,0,3.5,8,9.62
Audric Estime,Broncos,Chiefs,2024,10,Away,26,45,14,53,3.8,0,0,0,0,0,0,5.3,1,6.88
Audric Estime,Broncos,Falcons,2024,11,Home,14,23,6,16,2.7,0,3,3,9,3,0,4,13,9.92
Audric Estime,Broncos,Raiders,2024,12,Away,5,7,3,15,5,0,0,0,0,0,0,1.5,22,11.74
